category	-log10(pvalue)	zscore	ratio	molecules	direction
Huntington's Disease Signaling	0.617	0.48	0.494	AKT1, AKT2, AKT3, AP2A2, APAF1, ATF4, ATP5F1C, ATP5F1D, ATP5MC1, BAX, BDNF, CAPN1, CAPN2, CAPN3, CAPN7, CAPNS1, CASP2, CASP3, CASQ1, CREB3L2, CTSD, DNAJB1, DNM1L, DNM3, EGFR, GLS, GNB1, GNB2, GNG2, GOSR2, GPAA1, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, HSPA2, HTT, IFT57, JUN, MAP2K7, MAP3K10, MAPK3, MAPK8, MTOR, NAPB, NAPG, PDPK1, PENK, PIK3CB, PIK3R1, PIK3R3, POLR2E, POLR2I, POLR2J, PRKCE, PRKCI, PRKCQ, PSMA1, PSMA2, PSMA4, PSMA7, PSMB1, PSMB2, PSMB7, PSMC2, PSMC3, PSMD1, PSMD11, PSMD12, PSMD14, PSMD4, PSMD5, PSMD6, PSME1, PSME4, RASA1, RCOR1, SDHD, STX16, TCERG1, TGM2, TP53, Ubb, UBC, VTI1B		positive
Endocannabinoid Neuronal Synapse Pathway	0.616	1.414	0.514	ABHD6, ADCY5, ADCY8, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, CHP1, CNR1, GNAI2, GNAL, GNB1, GNB2, GNG2, GRIN1, GRIN2A, GRINA, ITPR2, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MGLL, PDIA3, PLCD4, PPP3CA, PPP3CB, PPP3R1, PRKACA, PRKAR1A, PRKAR2B, PTGS2		positive
Sphingosine-1-phosphate Signaling	0.608	-0.354	0.515	ADCY5, ADCY8, AKT1, AKT2, AKT3, ASAH2, CASP2, CASP3, CASQ1, FNBP1, GNA13, GNAI2, MAPK3, PDGFA, PDGFB, PDGFC, PDGFRA, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PTK2, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, S1PR1, S1PR3		negative
IL-1 Signaling	0.601	-1.225	0.516	ADCY5, ADCY8, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, IKBKB, IKBKG, IL1R1, IL1RAP, IRAK1, IRAK2, JUN, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAPK12, MAPK14, MAPK8, MRAS, MYD88, NFKB1, NFKBIA, NFKBIB, PRKACA, PRKAR1A, PRKAR2B, RELA, TRAF6		negative
Amyotrophic Lateral Sclerosis Signaling	0.597	0.626	0.517	AKT3, ALS2, APAF1, BAX, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, CAPN1, CAPN2, CAPN3, CAPN7, CAPNS1, CASP3, GLUL, GRIN1, GRIN2A, GRINA, HECW1, PDGFC, PIK3CB, PIK3R1, PIK3R3, PPP3CA, RAB5C, RNF19A, SSR4, TP53, VEGFD		positive
ERBB Signaling	0.597	0	0.517	AKT1, EGFR, ERBB2, ERBB3, ERBB4, FOXO1, HRAS, JUN, KRAS, MAP2K1, MAP2K3, MAP2K6, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, MTOR, NCK2, NRAS, PAK4, PDPK1, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RALA, RRAS, TGFA		no direction
Virus Entry via Endocytic Pathways	0.597	0	0.517	ACTA1, ACTA2, ACTB, ACTC1, AP1S2, AP2A2, AP3B1, B2M, CAV1, CXADR, FLNA, FLNB, FLNC, FOLR1, HLA-A, HRAS, ITGB1, ITSN1, KRAS, MR1, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RALA, RRAS, TFRC		no direction
STAT3 Pathway	0.591	-2.535	0.506	BMPR1B, BMPR2, CDC25A, CDKN1A, CISH, CSF2RB, EGFR, FGF2, FGFR2, GHR, HRAS, IL12RB2, IL17RA, IL17RC, IL17RD, IL17RE, IL1R1, IL4R, IL6R, IL6ST, INSR, KRAS, MAP2K1, MAP3K10, MAP3K20, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NGFR, NRAS, PDGFB, PDGFRA, PIM1, RALA, RRAS, SOCS2, SOCS3, SOCS7, STAT3, TGFA, TGFB1, TGFB2, TGFBR2		negative
NER (Nucleotide Excision Repair, Enhanced Pathway)	0.59	1.043	0.518	CCNH, CETN2, Cops2, COPS5, COPS7A, COPS8, CUL4A, DDB1, DNA2, GTF2H2, GTF2H5, H3-3A/H3-3B, H4C3, H4C9, NEDD8, PCNA, POLD1, POLD2, POLD4, POLE3, POLK, POLR2E, POLR2I, POLR2J, RAD23B, RPA1, TOP2A, TOP2B, UBE2N		positive
Clathrin-mediated Endocytosis Signaling	0.582	0	0.5	AAK1, ACTA1, ACTA2, ACTB, ACTC1, AP1S2, AP2A2, AP3B1, APOE, ARPC1B, ARPC3, ARPC4, ARRB1, CHP1, CTTN, DAB2, DNM1L, DNM3, EPHB2, F2, F2R, FGF1, FGF12, FGF13, FGF16, FGF18, FGF2, FGF6, HGS, HIP1R, ITGB1, LDLR, LDLRAP1, MET, MYO1E, PDGFA, PDGFB, PDGFC, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, RAB11B, RAB5C, RBP4, SH3GL1, SH3GLB1, SNX9, TF, TFRC, Ubb, UBC, USP9X, VEGFD		no direction
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	0.58	0	0.75	DLAT, DLD, PDHA1		no direction
Myo-inositol Biosynthesis	0.58	0	0.75	BPNT2, IMPA1, ISYNA1		no direction
ERK5 Signaling	0.575	-1.633	0.521	AKT1, ATF4, CREB3L2, CTF1, EGFR, GNA13, HRAS, IL6ST, KRAS, MAP3K2, MAPK7, MEF2A, MEF2C, MEF2D, MRAS, NRAS, PTPN11, RALA, RPS6KA2, RPS6KA5, RRAS, WNK1, YWHAB, YWHAG, YWHAZ		negative
Neuroinflammation Signaling Pathway	0.575	1.806	0.494	ACVR1, ACVR2A, AKT1, AKT2, AKT3, APH1B, APP, ATF4, B2M, BACE1, BDNF, BMPR2, CASP3, CCL5, CD80, CHP1, CREB3L2, CTNNB1, CXCL10, FAS, GABRA1, GLS, GLUL, GRIN1, GRIN2A, GRINA, HLA-A, IDE, IKBKB, IKBKG, IL1R1, IL6, IL6R, IRAK1, IRAK2, IRF3, JUN, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MAPT, MFGE8, MR1, MYD88, NCSTN, NFAT5, NFATC1, NFATC2, NFKB1, NTF3, PIK3CB, PIK3R1, PIK3R3, PLA2G3, PLA2G4A, PLA2G4E, PPP3CA, PPP3CB, PPP3R1, PSEN1, PTGS2, PYCARD, RELA, SLC1A3, TGFB1, TGFB2, TGFB3, TGFBR2, TLR1, TLR4, TLR5, TLR6, TRAF3, TRAF6, VCAM1		positive
Oxytocin In Brain Signaling Pathway	0.574	-0.412	0.5	AKT1, AKT2, AKT3, ATF4, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CREB3L2, DDIT3, EGFR, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, IL6, ITPR2, KRAS, MAP2K1, MAPK3, MAPK7, MEF2A, MEF2C, MEF2D, MRAS, MTOR, NFKB1, NRAS, PIK3CB, PIK3R1, PIK3R3, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PNPLA8, PRDX6, PRKCE, PRKCI, PRKCQ, PTGS2, PYCARD, RALA, RGS2, RRAS, TLR4		negative
ERK/MAPK Signaling	0.563	1.236	0.496	ATF4, BCAR1, CREB3L2, CRK, DUSP1, DUSP2, DUSP6, EIF4EBP1, ELF1, ESR1, ETS1, ETS2, H3-3A/H3-3B, HRAS, HSPB3, HSPB7, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, KRAS, MAP2K1, MAPK3, MKNK1, MKNK2, MRAS, NFATC1, NRAS, PAK4, PIK3CB, PIK3R1, PIK3R3, PLA2G3, PLA2G4A, PLA2G4E, PPARG, PPM1J, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PTK2, RALA, RAPGEF1, RPS6KA5, RRAS, SRF, STAT3, TLN2, YWHAB, YWHAG, YWHAZ		positive
ERBB4 Signaling	0.56	0.243	0.525	AKT1, APH1B, ERBB4, HRAS, KRAS, MAP2K1, MAPK3, MRAS, NCSTN, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, PSEN1, RALA, RRAS, YAP1		positive
Phospholipase C Signaling	0.552	-2.213	0.493	ADCY5, ADCY8, ARHGEF1, ARHGEF12, ARHGEF17, ARHGEF9, ATF4, Calm1 (includes others), CD3G, CHP1, CREB3L2, FNBP1, GNA13, GNB1, GNB2, GNG2, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, ITPR2, KRAS, MAP2K1, MAPK3, MEF2A, MEF2C, MEF2D, MPRIP, MRAS, MYL1, MYL4, MYL9, MYLPF, NFAT5, NFATC1, NFATC2, NFKB1, NRAS, PLA2G3, PLA2G4A, PLA2G4E, PLCD4, PPP3CA, PPP3CB, PPP3R1, PRKCE, PRKCI, PRKCQ, RALA, RELA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, RRAS, TGM2		negative
Cholesterol Biosynthesis I	0.55	1	0.667	FDFT1, NSDHL, SC5D, SQLE		positive
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	0.55	1	0.667	FDFT1, NSDHL, SC5D, SQLE		positive
Cholesterol Biosynthesis III (via Desmosterol)	0.55	1	0.667	FDFT1, NSDHL, SC5D, SQLE		positive
Leukotriene Biosynthesis	0.55	1	0.667	DPEP1, GGT5, LTA4H, MGST3		positive
Prostanoid Biosynthesis	0.55	-1	0.667	PTGES, PTGES2, PTGIS, PTGS2		negative
iNOS Signaling	0.549	0.258	0.529	Calm1 (includes others), CD14, IKBKB, IKBKG, IRAK1, IRAK2, IRF1, JUN, LBP, MAPK12, MAPK14, MYD88, NFKB1, NFKBIA, NFKBIB, RELA, TLR4, TRAF6		positive
Apelin Muscle Signaling Pathway	0.546	0	0.531	AKT1, AKT2, AKT3, APLN, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, MRAS, PPARGC1A, PRKAA1, PRKAB1, PRKAB2, PRKAG3, SLC2A4		no direction
Gαq Signaling	0.545	-0.16	0.5	AKT1, AKT2, AKT3, Calm1 (includes others), CHP1, EPM2A, FNBP1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, GYS1, HTR2B, IKBKB, IKBKG, ITPR2, MAP2K1, MAPK3, MRAS, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, PRKCE, PRKCI, PRKCQ, RELA, RGS2, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1		negative
Telomerase Signaling	0.544	0	0.507	AKT1, AKT2, AKT3, CDKN1A, EGFR, ELF1, ETS1, ETS2, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, HSP90AA1, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, RALA, RRAS, TERF2IP, TP53		no direction
Cell Cycle Control of Chromosomal Replication	0.539	1.291	0.536	CDC45, CDK16, CDK19, CDK8, CDK9, DNA2, MCM4, MCM6, MCM9, ORC5, PCNA, POLD1, RPA1, TOP2A, TOP2B		positive
Glutamate Receptor Signaling	0.539	0.447	0.536	Calm1 (includes others), GLS, GLUL, GNB1, GNB2, GNG2, GRIN1, GRIN2A, GRINA, HOMER1, PICK1, SLC17A6, SLC17A8, SLC1A1, SLC1A3		positive
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	0.539	2.84	0.536	CCL5, CXCL10, DDX58, EIF2AK2, IFIT3, IFNAR2, IL33, IL6, IRF3, MYD88, NFKB1, PYCARD, RSAD2, S1PR1, TLR4		positive
Triacylglycerol Biosynthesis	0.539	2.324	0.536	ABHD5, AGPAT2, AGPAT3, AGPAT4, CRLS1, DGAT2, ELOVL1, GPAT3, LPGAT1, LPIN1, LPIN2, MBOAT1, MBOAT7, Plpp1, PLPP3		positive
4-1BB Signaling in T Lymphocytes	0.536	0.577	0.538	IKBKB, IKBKG, JUN, MAP2K1, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, NFKB1, NFKBIA, NFKBIB, RELA, TRAF2		positive
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	0.536	0.447	0.625	INPP5A, INPP5E, INPP5K, INPPL1, IPMK		positive
γ-linolenate Biosynthesis II (Animals)	0.536	0.447	0.625	ACSL1, ACSL3, ACSL5, ACSL6, SLC27A1		positive
Inhibition of Angiogenesis by TSP1	0.533	-1.155	0.542	AKT1, AKT2, AKT3, CASP3, CD47, JUN, MAPK12, MAPK14, MAPK8, SDC2, TGFB1, TGFBR2, TP53		negative
Small Cell Lung Cancer Signaling	0.531	-0.728	0.508	AKT1, AKT2, AKT3, APAF1, CCND1, CCND3, CCNE2, E2F6, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, IKBKB, IKBKG, NFKB1, NFKBIA, NFKBIB, PIK3CB, PIK3R1, PIK3R3, PTGS2, PTK2, RBL2, RELA, RXRG, TP53, TRAF2, TRAF3, TRAF6		negative
Unfolded protein response	0.531	0.688	0.508	ATF4, ATF6, CALR, CD82, CEBPA, CEBPG, DDIT3, DNAJA4, DNAJB1, DNAJB2, DNAJB5, DNAJC12, DNAJC19, DNAJC21, DNAJC4, DNAJC7, DNAJC9, HSPA2, HSPH1, MAP2K7, MAP3K5, MAPK8, MBTPS1, OS9, P4HB, PPARG, SREBF1, SYVN1, TRAF2, UBXN4, XBP1		positive
p53 Signaling	0.531	0.426	0.508	AKT1, AKT2, AKT3, APAF1, BAX, CCND1, CCNK, CDKN1A, COQ8A, CTNNB1, FAS, GADD45A, GADD45G, HDAC9, HIPK2, JUN, MAPK14, MAPK8, MDM4, MED1, PCNA, PIAS1, PIK3CB, PIK3R1, PIK3R3, SERPINE2, SNAI2, STAG1, TP53, TP53BP2, TP53INP1		positive
Cell Cycle Regulation by BTG Family Proteins	0.53	-0.447	0.545	BTG1, BTG2, CCND1, CCNE2, CNOT7, E2F6, NOCT, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D		negative
OX40 Signaling Pathway	0.53	-1.265	0.545	B2M, CD3G, HLA-A, JUN, MAPK12, MAPK8, NFKB1, NFKBIA, NFKBIB, RELA, TRAF2, TRAF3		negative
Oncostatin M Signaling	0.53	0	0.545	HRAS, IL6ST, KRAS, MAP2K1, MAPK3, MRAS, NRAS, OSMR, RALA, RRAS, STAT3, TIMP3		no direction
Cysteine Biosynthesis III (mammalia)	0.529	0.447	0.6	AHCYL1, AHCYL2, ALKBH8, MAT2A, PRMT3, PRMT5		positive
Dopamine Degradation	0.529	0	0.6	ALDH1A1, ALDH3A2, Aldh3b2, MAOA, MAOB, SMOX		no direction
Methionine Degradation I (to Homocysteine)	0.529	0.447	0.6	AHCYL1, AHCYL2, ALKBH8, MAT2A, PRMT3, PRMT5		positive
The Visual Cycle	0.529	-0.447	0.6	Akr1b10, AKR1B10, DHRS3, DHRS4, RBP3, RDH5		negative
Aryl Hydrocarbon Receptor Signaling	0.528	1.257	0.5	ALDH1A1, ALDH1L1, ALDH3A2, APAF1, BAX, CCND1, CCND3, CCNE2, CDKN1A, CTSD, ESR1, FAS, GSTM1, GSTM3, GSTM5, GSTO1, HSP90AA1, HSPB3, HSPB7, IL6, JUN, MAPK3, MAPK8, MED1, MGST3, NEDD8, NFIA, NFIB, NFIC, NFIX, NFKB1, NQO1, NR2F1, RARA, RARG, RBL2, RELA, RXRG, TGFB1, TGFB2, TGFB3, TGM2, TP53		positive
Noradrenaline and Adrenaline Degradation	0.526	-0.378	0.583	ALDH1A1, ALDH3A2, Aldh3b2, DHRS4, MAOA, MAOB, SMOX		negative
Superpathway of Cholesterol Biosynthesis	0.526	1.633	0.583	ACAA2, FDFT1, GGPS1, HADHA, NSDHL, SC5D, SQLE		positive
Glycolysis I	0.526	1.265	0.556	ALDOA, ALDOB, BPGM, FBP1, FBP2, GAPDH, GPI, PFKM, PKM, TPI1		positive
Glutaryl-CoA Degradation	0.525	0.378	0.571	ACAA2, CDYL, GCDH, HACD1, HACD2, HADH, HADHA, HSD17B4		positive
Serotonin Receptor Signaling	0.525	0	0.571	ADCY5, ADCY8, HTR1B, HTR2B, MAOA, MAOB, SMOX, TPH1		no direction
Tryptophan Degradation III (Eukaryotic)	0.525	0.378	0.571	ACAA2, CDYL, GCDH, HACD1, HACD2, HADH, HADHA, HSD17B4		positive
IL-22 Signaling	0.525	-0.333	0.562	AKT1, AKT2, AKT3, MAPK12, MAPK14, MAPK3, MAPK8, SOCS3, STAT3		negative
Glioma Signaling	0.523	-0.192	0.5	AKT1, AKT2, AKT3, Calm1 (includes others), CAMK2D, CAMK2G, CCND1, CCND3, CDKN1A, E2F6, EGFR, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, IDH1, IDH2, IDH3B, KRAS, MAP2K1, MAPK3, MRAS, MTOR, NRAS, PDGFA, PDGFB, PDGFC, PDGFRA, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RALA, RBL2, RRAS, TGFA, TP53		negative
Human Embryonic Stem Cell Pluripotency	0.514	0	0.5	ACVR1, AKT1, AKT2, AKT3, BDNF, BMP8A, BMPR1B, BMPR2, CTNNB1, FGF2, FGFR2, FGFRL1, FOXO1, FZD7, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, MRAS, NOG, NTF3, PDGFA, PDGFB, PDGFC, PDGFRA, PDPK1, PIK3CB, PIK3R1, PIK3R3, S1PR1, S1PR3, SMAD3, SMAD4, TGFB1, TGFB2, TGFB3, TGFBR2, WNT9A		no direction
Gap Junction Signaling	0.513	0	0.495	ACTA1, ACTA2, ACTB, ACTC1, ADCY5, ADCY8, AKT1, AKT2, AKT3, CAV1, CSNK1A1, CSNK1E, CTNNB1, EGFR, GJA5, GJC1, GNAI2, HRAS, HTR2B, ITPR2, KRAS, MAP2K1, MAP3K2, MAPK3, MAPK7, MRAS, NPR3, NRAS, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PPP3CA, PPP3CB, PPP3R1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PRKG1, RALA, RRAS, SP3, TUBA1A, TUBB, TUBB2B, TUBB6, TUBG1		no direction
Ferroptosis Signaling Pathway	0.51	0.493	0.5	ABCA1, ANGPTL4, ATF4, CDKN1A, EMP1, FANCD2, FDFT1, FTH1, G3BP1, GSS, H2AX, H2AZ2, HRAS, IREB2, KEAP1, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PRKAA1, PRKAB1, PRKAB2, PRKAG3, RALA, RBL2, RRAS, SLC11A2, SLC1A5, SLC3A2, SLC7A11, SQSTM1, STAT3, TF, TFRC, TP53, TXNRD1, WWTR1, YAP1		positive
Induction of Apoptosis by HIV1	0.493	0.853	0.511	APAF1, BAK1, BAX, CASP3, DFFA, FADD, FAS, IKBKB, IKBKG, MAP2K7, MAP3K5, MAPK12, MAPK8, NFKB1, NFKBIA, NFKBIB, NGFR, RELA, SLC25A3, TNFRSF11B, TNFRSF1B, TP53, TRAF2		positive
GDNF Family Ligand-Receptor Interactions	0.488	-0.688	0.512	DOK4, GFRA4, HRAS, IRS1, IRS2, ITPR2, JUN, KRAS, MAP2K1, MAPK12, MAPK3, MAPK8, MRAS, NRAS, PDLIM7, PIK3CB, PIK3R1, PIK3R3, RALA, RASA1, RET, RRAS		negative
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	0.486	0	0.491	ADAMTS4, ADAMTS5, AKT1, AKT2, AKT3, BMP8A, BMPR1B, BMPR2, Calm1 (includes others), CHP1, CSNK1A1, CSNK1E, CTNNB1, FOXO1, FZD7, IKBKB, IKBKG, IL1R1, IL1RAP, IL33, IL6, JUN, LRP1, MAP2K3, MAP2K6, MAP2K7, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MMP14, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NGFR, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, RELA, SFRP1, SMAD4, SPP1, TGFB1, TNFRSF11B, TNFRSF1B, TRAF2, TRAF6, WNT9A		no direction
FcγRIIB Signaling in B Lymphocytes	0.483	-1.941	0.512	AKT1, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, HRAS, ITPR2, KRAS, MAPK12, MAPK8, MRAS, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, RALA, RRAS		negative
Pyridoxal 5'-phosphate Salvage Pathway	0.483	0.894	0.512	ACVR2A, ADPGK, AKT2, CDK8, CSNK1A1, EIF2AK2, GRK4, GRK5, HIPK1, IRAK1, MAP2K1, MAP2K3, MAP2K6, MAPK3, MAPK7, MAPK8, PIM1, PRKAA1, PRKCE, PRKCQ, PRPF4B		positive
Death Receptor Signaling	0.476	1.976	0.5	ACTA1, ACTA2, ACTB, ACTC1, APAF1, CASP2, CASP3, CRADD, DFFA, FADD, FAS, HSPB3, HSPB7, IKBKB, IKBKG, LMNA, MAP2K7, MAP3K5, MAPK8, NFKB1, NFKBIA, NFKBIB, PARP4, PARP9, RELA, ROCK1, SPTAN1, TIPARP, TNFRSF1B, TNFSF12, TNKS, TRAF2		positive
IL-15 Production	0.476	-0.354	0.5	AATK, DSTYK, EGFR, EPHA3, EPHB2, EPHB3, ERBB2, ERBB3, ERBB4, FER, FGFR2, IL15, IL6, INSR, IRF1, IRF3, LMTK2, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MERTK, MET, MUSK, NFKB1, PDGFRA, PRKCI, PTK2, RELA, RET, ROS1, TEK		negative
ERB2-ERBB3 Signaling	0.473	-0.943	0.514	AKT1, CCND1, ERBB2, ERBB3, FOXO1, HRAS, JUN, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, RALA, RRAS, STAT3		negative
Thrombopoietin Signaling	0.473	0.688	0.514	GAB2, HRAS, IRS2, JUN, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, PTPN11, RALA, RRAS, STAT3		positive
Aldosterone Signaling in Epithelial Cells	0.472	2.183	0.494	CRYAB, DNAJB1, DNAJB2, DNAJB5, DNAJC12, DNAJC19, DNAJC2, DNAJC21, DNAJC28, DNAJC4, DNAJC7, DNAJC9, DUSP1, HSP90AA1, HSPA13, HSPA2, HSPA4L, HSPB3, HSPB6, HSPB7, HSPB8, HSPE1, HSPH1, ICMT, ITPR2, KCNMA1, KRAS, MAP2K1, MAPK3, PDIA3, PDPK1, PIK3CB, PIK3R1, PIK3R3, PIKFYVE, PLCD4, PRKCE, PRKCI, PRKCQ, SLC12A2, SLC9A1, TRAP1		positive
Erythropoietin Signaling Pathway	0.468	-0.469	0.494	AKT1, AKT2, AKT3, APAF1, CCND1, CSF2RB, CTNNB1, HRAS, IL15, IL17F, IL33, IL6, IRS2, ITPR2, JUN, KRAS, LTB, MAP2K1, MAPK3, MRAS, MTOR, NFKB1, NFKBIA, NFKBIB, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RALA, RELA, RRAS, TGFB1, TGFB2, TGFB3, TNFSF12, TP53, TRPC3		negative
Apelin Cardiomyocyte Signaling Pathway	0.466	1.461	0.5	AKT1, AKT2, AKT3, APLN, ATP2A1, ATP2A3, GNAI2, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MYL1, MYL4, MYL9, MYLK, MYLPF, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PRKCE, PRKCI, PRKCQ, SLC8A3, SLC9A1, SLC9A2, SLC9A6, TGFB1		positive
White Adipose Tissue Browning Pathway	0.463	0.164	0.494	ADCY5, ADCY8, ATF4, BDNF, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, CREB3L2, DIO2, FGFR2, FGFRL1, HIF1AN, ITPR2, LDHA, LIPE, MAPK12, MAPK14, NDN, PPARA, PPARG, PPARGC1A, PRKAA1, PRKAB1, PRKAB2, PRKACA, PRKAG3, PRKAR1A, PRKAR2B, PRKG1, RARA, RARG, RUNX1T1, RXRG, SLC16A1, THRA, THRB		positive
ICOS-ICOSL Signaling in T Helper Cells	0.461	-0.2	0.5	AKT1, AKT2, AKT3, Calm1 (includes others), CAMK2D, CAMK2G, CD3G, CD80, CHP1, GAB2, HLA-A, IKBKB, IKBKG, ITPR2, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, PDPK1, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, PRKCQ, RELA		negative
p70S6K Signaling	0.458	1	0.494	AKT1, AKT2, AKT3, BCAP31, EEF2, EGFR, F2, F2R, F2RL1, GNAI2, HRAS, IL4R, IRS1, KRAS, MAP2K1, MAPK3, MAPT, MRAS, MTOR, NRAS, PDIA3, PDPK1, PIK3CB, PIK3R1, PIK3R3, PLCD4, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKCE, PRKCI, PRKCQ, RALA, RRAS, YWHAB, YWHAG, YWHAZ		positive
MIF Regulation of Innate Immunity	0.456	0.5	0.516	CD14, CD74, JUN, MAPK12, MAPK3, MAPK8, NFKB1, NFKBIA, NFKBIB, PLA2G3, PLA2G4A, PLA2G4E, PTGS2, RELA, TLR4, TP53		positive
Toll-like Receptor Signaling	0.455	-0.447	0.5	CD14, EIF2AK2, IKBKB, IKBKG, IL33, IRAK1, IRAK2, JUN, LBP, MAP2K3, MAP2K6, MAP3K1, MAPK12, MAPK14, MAPK8, MYD88, NFKB1, NFKBIA, PPARA, RELA, TLR1, TLR4, TLR5, TLR6, TNFAIP3, TRAF6, Ubb, UBC		negative
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	0.451	0	0.517	BORA, CDKN1A, CUL1, GADD45A, HIPK2, MDM4, PTPMT1, TOP2A, TOP2B, TP53, TRIP12, WEE1, YWHAB, YWHAG, YWHAZ		no direction
FXR/RXR Activation	0.45	0	0.5	AKT1, AKT2, AKT3, APOE, C3, CYP27A1, FBP1, FOXO1, IL33, ITIH4, LPL, MAPK12, MAPK8, MLXIPL, NR1H3, NR1H4, PLTP, PPARA, PPARG, PPARGC1A, RARA, RBP4, SERPINF1, SREBF1, TF, TTR, VLDLR		no direction
Mouse Embryonic Stem Cell Pluripotency	0.45	0.192	0.5	AKT1, AKT2, AKT3, BMPR2, CTNNB1, DVL3, FZD7, HRAS, ID1, IL6ST, KRAS, LIFR, MAP2K1, MAPK12, MAPK14, MAPK3, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RRAS, SMAD4, STAT3, TP53		positive
